run_type,search_version,results,time_ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 97 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 189 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 153 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 110 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 188 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 140 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 93 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 0 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 124 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 216 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 190 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 211 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 119 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 200 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 198 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 119 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 110 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 167 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 169 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 200 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 194 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 260 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 251 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 173 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 226 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 133 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 266 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 126 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 251 ms
Go results, V1, [web-result-for:"Go is awesome" image-result-for:"Go is awesome" video-result-for:"Go is awesome"], 141 ms
